core-keeper-dedicated
date,stream,content
2026/04/13 11:06:52,stdout,Skipping faction mod /home/steam/core-keeper-dedicated/CoreKeeperServer_Data/StreamingAssets/Conf/Factions/None.json with faction None (0)

2026/04/13 11:06:52,stdout,Old and new server gameid is the same

2026/04/13 11:06:52,stdout,PlatformConfiguration: applying PrefsManager session settings.

2026/04/13 11:06:52,stdout,PlatformConfiguration: applying PrefsManager audio settings.

2026/04/13 11:06:52,stdout,PlatformConfiguration: applying PrefsManager visual quality settings.

2026/04/13 11:06:52,stdout,PlatformConfiguration: applying settings for platform variant Linux.

2026/04/13 11:06:52,stdout,PlatformConfiguration: loading platform configuration for variant PC.

2026/04/13 11:06:52,stdout,PlatformConfiguration: platform configuration for variant Linux was not found.

2026/04/13 11:06:52,stdout,PlatformConfiguration: loading platform configuration for variant Linux.

2026/04/13 11:06:52,stdout,Job worker count is 3

2026/04/13 11:06:52,stdout,Core count is 4

2026/04/13 11:06:52,stdout,Start initializing all managers

2026/04/13 11:06:47,stdout,Global manager Resources.Load

2026/04/13 11:06:47,stdout,Initialize global manager

2026/04/13 11:06:47,stdout,Manager prelaunch and GO initialization starting...

2026/04/13 11:06:47,stdout,Checking system requirements: PASS

2026/04/13 11:06:43,stdout,UnloadTime: 4.085921 ms

2026/04/13 11:06:42,stdout,CommandLineArgs.args[17]: 12Ygg34!#

2026/04/13 11:06:42,stdout,CommandLineArgs.args[16]: -password

2026/04/13 11:06:42,stdout,CommandLineArgs.args[15]: 4

2026/04/13 11:06:42,stdout,CommandLineArgs.args[14]: -maxplayers

2026/04/13 11:06:42,stdout,CommandLineArgs.args[13]: /home/steam/core-keeper-data
